Facility,total_ops,total_num_delays,avg_min,total_min
DIK,0,0,0.0,0
DLG,0,0,0.0,0
DLH,64171,1,58.0,58
DLN,0,0,0.0,0
DMA,0,0,0.0,0
DMN,0,0,0.0,0
DPA,91667,2,28.0,56
DRO,0,0,0.0,0
DRT,0,0,0.0,0
DSM,70118,0,0.0,0
DTN,39179,0,0.0,0
DTO,125608,3,20.0,60
DTS,2180,0,0.0,0
DTW,395357,1646,52.8,86918
DUT,0,0,0.0,0
DVL,0,0,0.0,0
DVT,378777,12,21.2,254
DWH,109315,0,0.0,0
DXR,49083,0,0.0,0
DZB,0,0,0.0,0
DZJ,0,0,0.0,0
E10,259853,0,0.0,0
EAR,0,0,0.0,0
EAT,0,0,0.0,0
EAU,20000,0,0.0,0
ECP,66441,0,0.0,0
EDC,0,0,0.0,0
EDDF,0,0,0.0,0
EDDK,0,0,0.0,0
EDDL,0,0,0.0,0
EDDM,0,0,0.0,0
EDDT,0,0,0.0,0
EEE,0,0,0.0,0
EFD,0,0,0.0,0
EGE,37202,117,58.4,6832
EGGW,0,0,0.0,0
EGKK,0,0,0.0,0
EGLL,0,0,0.0,0
EGPF,0,0,0.0,0
EGVN,0,0,0.0,0
EHAM,0,0,0.0,0
EHM,0,0,0.0,0
EKA,0,0,0.0,0
EKO,0,0,0.0,0
ELM,17998,0,0.0,0
ELN,0,0,0.0,0
ELP,93104,0,0.0,0
ELY,0,0,0.0,0
EMT,83183,3,17.7,53
ENA,40608,4,19.3,77
ENM,0,0,0.0,0
ENW,48722,0,0.0,0
ERI,23976,0,0.0,0
ERV,0,0,0.0,0
ESC,0,0,0.0,0
ESN,71971,0,0.0,0
EUG,61633,4,67.5,270
EVB,164667,0,0.0,0
EVV,33241,0,0.0,0
EWB,55357,0,0.0,0
EWN,38508,0,0.0,0
EWR,443649,46315,70.1,3248646
EYW,49464,2,27.0,54
F11,703995,19,24.0,456
FAI,115350,0,0.0,0
FAOR,0,0,0.0,0
FAR,85135,0,0.0,0
FAT,85591,0,0.0,0
FAY,32066,0,0.0,0
FCI,0,0,0.0,0
FCM,90835,0,0.0,0
FDK,72562,2,16.5,33
FFZ,291457,2,17.5,35
FIN,131271,0,0.0,0
FLG,42831,0,0.0,0
FLL,312763,719,31.7,22785
FLO,16968,0,0.0,0
FMN,35333,0,0.0,0
FMY,93904,0,0.0,0
FNT,31794,0,0.0,0
FOE,12197,0,0.0,0
FOK,51479,0,0.0,0
FPR,157803,0,0.0,0
FRG,203792,2,19.5,39
FSD,73221,0,0.0,0
FSM,40548,0,0.0,0
FTG,81905,0,0.0,0
FTW,163066,14,28.6,400
FTY,49582,0,0.0,0
FUL,65450,2,25.5,51
FWA,37446,3,28.3,85
FWS,62668,0,0.0,0
FXE,179023,23,22.0,505
FYV,22984,0,0.0,0
GAM,0,0,0.0,0
GCC,0,0,0.0,0
GCK,16701,0,0.0,0
GCM,0,0,0.0,0
GCN,108636,0,0.0,0
GDV,0,0,0.0,0
GEG,63801,7,26.7,187
GEU,75005,0,0.0,0
GFK,331881,0,0.0,0
GGE,0,0,0.0,0
GGG,49551,1,15.0,15
GHG,0,0,0.0,0
GJT,44275,0,0.0,0
GKJ,0,0,0.0,0
GKY,84594,2,23.5,47
GLH,20781,0,0.0,0
GLS,29857,0,0.0,0
GMU,52418,1,29.0,29
GNV,59571,2,85.0,170
GON,43744,0,0.0,0
GPI,26217,2,27.5,55
GPM,91091,2,18.5,37
GPT,46666,0,0.0,0
GRB,45358,2,24.0,48
GRI,14615,0,0.0,0
GRK,0,0,0.0,0
GRR,82432,0,0.0,0
GSH,0,0,0.0,0
GSN,112818,0,0.0,0
GSO,82711,0,0.0,0
GSP,45428,8,28.4,227
GTB,0,0,0.0,0
GTF,32423,0,0.0,0
GTR,49888,1,21.0,21
GTU,104317,0,0.0,0
GUC,0,0,0.0,0
GUM,73665,0,0.0,0
GUP,0,0,0.0,0
GUS,0,0,0.0,0
GVNP,0,0,0.0,0
GVT,0,0,0.0,0
GXY,0,0,0.0,0
GYH,31087,0,0.0,0
GYR,111163,0,0.0,0
GYY,23526,0,0.0,0
HCF,898169,74,27.9,2068
HCR,0,0,0.0,0
HDN,0,0,0.0,0
HEF,83911,0,0.0,0
HFD,41659,0,0.0,0
HGR,51774,0,0.0,0
HHR,79298,59,72.4,4271
HIK,0,0,0.0,0
HIO,210821,70,19.7,1379
HKO,0,0,0.0,0
HKS,25939,0,0.0,0
HKY,24462,0,0.0,0
HLG,28686,0,0.0,0
HLI,0,0,0.0,0
HLN,44986,0,0.0,0
HND,77912,4,23.3,93
HNL,311857,69,28.8,1989
HOB,8189,0,0.0,0
HOG,0,0,0.0,0
HOU,202850,882,42.8,37766
HPN,169280,543,40.0,21727
HQU,0,0,0.0,0
HQZ,65043,1,18.0,18
HRL,36804,0,0.0,0
HSA,37297,0,0.0,0
HSV,64015,0,0.0,0
HTO,0,0,0.0,0
HTS,11543,0,0.0,0
HUF,50444,0,0.0,0
HUM,56844,0,0.0,0
HUT,28969,0,0.0,0
HVN,25783,0,0.0,0
HWD,102059,72,22.8,1639
HWO,226376,6,17.0,102
HXD,29799,0,0.0,0
HYA,80603,5,18.0,90
HYI,65927,0,0.0,0
HYR,0,0,0.0,0
HYS,0,0,0.0,0
I90,905944,368,24.9,9164
IAB,0,0,0.0,0
IAD,294066,975,48.8,47585
IAG,17199,0,0.0,0
IAH,450323,3496,47.6,166583
ICT,111581,0,0.0,0
IDA,29144,1,17.0,17
IDP,0,0,0.0,0
IFP,10065,6,26.3,158
IKV,0,0,0.0,0
ILG,41253,1,15.0,15
ILM,57830,0,0.0,0
ILN,0,0,0.0,0
IMT,0,0,0.0,0
IND,160122,9,31.6,284
INT,45822,0,0.0,0
IPL,0,0,0.0,0
IPT,19079,0,0.0,0
ISM,91818,0,0.0,0
ISN,0,0,0.0,0
ISO,21540,0,0.0,0
ISP,127229,1,43.0,43
ITH,30157,0,0.0,0
ITO,91411,0,0.0,0
IWA,290456,45,18.6,835
IWD,0,0,0.0,0
IWK,0,0,0.0,0
IXD,55499,0,0.0,0
JAC,28989,0,0.0,0
JAN,57145,0,0.0,0
JAX,93748,1,74.0,74
JEF,31664,0,0.0,0
JES,0,0,0.0,0
JFK,453335,23635,67.6,1597687
JLN,22964,0,0.0,0
JMS,0,0,0.0,0
JNU,84762,12,21.0,252
JQF,70822,0,0.0,0
JRF,118470,0,0.0,0
JVL,32606,1,15.0,15
JWN,0,0,0.0,0
JXN,35291,0,0.0,0
JZI,0,0,0.0,0
K90,136106,75,32.6,2448
KOA,113947,0,0.0,0
KSM,0,0,0.0,0
KTN,0,0,0.0,0
L08,0,0,0.0,0
L30,609313,1,17.0,17
L35,0,0,0.0,0
LAA,0,0,0.0,0
LAF,109620,0,0.0,0
LAL,116653,0,0.0,0
LAN,33499,0,0.0,0
LAR,0,0,0.0,0
LAS,542994,5779,49.0,283185
LAW,27406,0,0.0,0
LAX,700362,33742,40.9,1381614
LBB,77634,3,19.0,57
LBE,26055,0,0.0,0
LBF,0,0,0.0,0
LCH,21064,0,0.0,0
LCK,0,0,0.0,0
LCQ,0,0,0.0,0
LEB,32869,0,0.0,0
LEE,59146,0,0.0,0
LEMD,0,0,0.0,0
LEW,0,0,0.0,0
LEX,72302,13,75.5,982
LFPG,0,0,0.0,0
LFT,44631,0,0.0,0
LGA,366018,42736,54.5,2331143
LGB,302360,29,24.0,697
LGD,0,0,0.0,0
LIH,129572,10,39.9,399
LIT,94109,0,0.0,0
LKR,0,0,0.0,0
LMT,47057,0,0.0,0
LNK,58196,0,0.0,0
LNR,0,0,0.0,0
LNS,84333,0,0.0,0
LNY,0,0,0.0,0
LOU,94726,0,0.0,0
LQK,0,0,0.0,0
LRD,85478,1,15.0,15
LRO,0,0,0.0,0
LSE,18416,0,0.0,0
LSV,0,0,0.0,0
LSZH,0,0,0.0,0
LTJ,0,0,0.0,0
LUK,77780,0,0.0,0
LUR,0,0,0.0,0
LVK,130656,0,0.0,0
LVM,0,0,0.0,0
LVS,0,0,0.0,0
LWB,18979,0,0.0,0
LWM,36893,0,0.0,0
LWS,28784,1,34.0,34
LYH,90911,0,0.0,0
LZU,94375,0,0.0,0
M03,298099,0,0.0,0
M98,530796,52,24.0,1248
MAF,62343,0,0.0,0
MBPV,0,0,0.0,0
MBS,20358,0,0.0,0
MCI,123357,0,0.0,0
MCN,14065,0,0.0,0
MCO,338278,176,45.8,8053
MDD,0,0,0.0,0
MDH,80687,3,36.0,108
MDPC,0,0,0.0,0
MDQ,0,0,0.0,0
MDSD,0,0,0.0,0
MDT,50145,0,0.0,0
MDW,251341,389,65.8,25588
MEI,59999,0,0.0,0
MEM,223357,1084,46.7,50647
MER,21633,0,0.0,0
MEV,0,0,0.0,0
MFD,16990,0,0.0,0
MFE,55359,0,0.0,0
MFR,38259,8,22.1,177
MGE,0,0,0.0,0
MGM,70899,0,0.0,0
MGW,51364,0,0.0,0
MGY,0,0,0.0,0
MHK,24201,0,0.0,0
MHR,99615,0,0.0,0
MHT,51716,0,0.0,0
MIA,413287,2197,24.7,54197
MIC,34223,0,0.0,0
MIE,31811,0,0.0,0
MKC,73995,0,0.0,0
MKE,112345,1,15.0,15
MKG,26491,0,0.0,0
MKJP,0,0,0.0,0
MKJS,0,0,0.0,0
MKK,38622,0,0.0,0
MKL,16554,0,0.0,0
MLB,92045,0,0.0,0
MLI,31427,0,0.0,0
MLU,26377,0,0.0,0
MMH,0,0,0.0,0
MMMX,0,0,0.0,0
MMMY,0,0,0.0,0
MMPR,0,0,0.0,0
MMSD,0,0,0.0,0
MMU,75366,33,47.4,1565
MMUN,0,0,0.0,0
MMZH,0,0,0.0,0
MOB,76103,0,0.0,0
MOD,44475,0,0.0,0
MOT,25933,1,36.0,36
MQS,0,0,0.0,0
MQY,77454,5,29.0,145
MRI,126513,0,0.0,0
MROC,0,0,0.0,0
MRY,103214,0,0.0,0
MSN,83529,2,27.5,55
MSO,35402,0,0.0,0
MSP,415703,1628,39.7,64593
MSS,0,0,0.0,0
MSY,133076,11,37.2,409
MTCH,0,0,0.0,0
MTJ,0,0,0.0,0
MTN,78274,0,0.0,0
MUHA,0,0,0.0,0
MUSC,0,0,0.0,0
MUVR,0,0,0.0,0
MVL,0,0,0.0,0
MVY,35327,3,22.0,66
MWA,51176,0,0.0,0
MWC,27730,0,0.0,0
MWH,68586,0,0.0,0
MWK,0,0,0.0,0
MWL,0,0,0.0,0
MYAM,0,0,0.0,0
MYEF,0,0,0.0,0
MYEH,0,0,0.0,0
MYF,207103,47,18.3,858
MYGF,0,0,0.0,0
MYL,0,0,0.0,0
MYNN,0,0,0.0,0
MYR,122209,0,0.0,0
N90,1960126,7671,33.5,256815
NBC,0,0,0.0,0
NCT,1640555,2987,22.0,65680
NE1,0,0,0.0,0
NEW,58190,0,0.0,0
NFL,0,0,0.0,0
NGU,0,0,0.0,0
NIP,0,0,0.0,0
NJK,0,0,0.0,0
NLC,0,0,0.0,0
NQA,32334,0,0.0,0
NSTU,0,0,0.0,0
NUC,0,0,0.0,0
NUW,0,0,0.0,0
NZY,0,0,0.0,0
OAJ,0,0,0.0,0
OAK,236628,441,21.4,9451
OBE,0,0,0.0,0
OCF,60093,0,0.0,0
OCN,0,0,0.0,0
ODO,0,0,0.0,0
OGD,76098,0,0.0,0
OGG,147386,6,14.0,84
OGS,0,0,0.0,0
OJA,0,0,0.0,0
OJC,37050,0,0.0,0
OKC,117518,1,23.0,23
OLM,40427,0,0.0,0
OLS,0,0,0.0,0
OLV,60066,1,153.0,153
OMA,96636,0,0.0,0
OME,0,0,0.0,0
OMK,0,0,0.0,0
OMN,100648,0,0.0,0
ONL,0,0,0.0,0
ONT,97380,13,20.0,260
OPF,131544,65,31.1,2020
OQU,0,0,0.0,0
ORD,867049,13842,70.0,968439
ORF,72990,0,0.0,0
ORH,28037,0,0.0,0
ORL,99932,0,0.0,0
OSC,0,0,0.0,0
OSH,62952,0,0.0,0
OSU,87140,0,0.0,0
OTH,15132,0,0.0,0
OTZ,0,0,0.0,0
OUN,48707,0,0.0,0
OWB,18399,0,0.0,0
OWD,67123,1,52.0,52
OXC,41621,13,47.7,620
OXR,66932,0,0.0,0
P31,297102,0,0.0,0
P50,710960,69,23.4,1613
P80,316542,3,19.3,58
PAE,108350,0,0.0,0
PAH,23590,0,0.0,0
PAO,148769,9,21.9,197
PBG,0,0,0.0,0
PBI,141110,70,34.2,2397
PCT,1393456,1173,36.9,43286
PDK,159066,5,29.0,145
PDT,13570,0,0.0,0
PDX,228949,100,40.7,4065
PGA,0,0,0.0,0
PGD,68284,2,49.5,99
PHF,82272,0,0.0,0
PHL,369928,12597,48.8,614403
PHO,0,0,0.0,0
PHX,430968,3603,19.9,71775
PIA,41495,0,0.0,0
PIE,114582,1,26.0,26
PIH,21600,0,0.0,0
PIT,149149,1,17.0,17
PIZ,0,0,0.0,0
PKB,33025,2,60.0,120
PLN,0,0,0.0,0
PMD,21435,0,0.0,0
