the_geom,f_code,iko,ita,name,cartodb_id,zv3,created_at,updated_at,use,right_total
0101000020E610000047CA1649BBA956C033A9A10DC0544340,GB005,KSUS,SUS,SPIRIT OF ST LOUIS AIRPORT,315,141,9/8/2014,9/8/2014,0,62455
0101000020E6100000003CA242755A52C01C7920B2485D4440,GB005,KFRG,FRG,REPUBLIC AIRPORT,330,25,9/8/2014,9/8/2014,0,107288
0101000020E6100000736891ED7C3753C03FC23060C9674340,GB005,KADW,ADW,ANDREWS AIR FORCE BASE,333,85,9/8/2014,9/8/2014,8,30987
0101000020E6100000821953B0C61F5AC0F303577902254340,GB005,KPUB,PUB,PUEBLO MEMORIAL AIRPORT,350,1441,9/8/2014,9/8/2014,0,80992
0101000020E6100000AB05F69848055CC0FED137691AD84040,GB005,KDVT,DVT,PHOENIX DEER VALLEY AIRPORT,353,450,9/8/2014,9/8/2014,0,136627
0101000020E6100000AE8218E8DA1A5CC01E882CD2C4534140,GB005,KPRC,PRC,ERNEST A. LOVE FIELD AIRPORT,373,1538,9/8/2014,9/8/2014,0,78481
0101000020E6100000C8CEDBD8EC0A54C0053065E080323A40,GB005,KFXE,FXE,FORT LAUDERDALE EXECUTIVE AIRPORT,380,4,9/8/2014,9/8/2014,0,137909
0101000020E61000006571FF91E9DA54C02785798F33554540,GB005,KPTK,PTK,OAKLAND COUNTY INTERNATIONAL AIRPORT,382,299,9/8/2014,9/8/2014,23,69405
0101000020E61000000664AF777FD251C01AD47E6B273C4540,GB005,KBED,BED,LAURENCE G HANSCOM FIELD AIRPORT,399,41,9/8/2014,9/8/2014,0,82550
0101000020E6100000827170E9980E54C0ECDB4944F8A54340,GB005,KCKB,CKB,NORTH CENTRAL WEST VIRGINIA AIRPORT,412,371,9/8/2014,9/8/2014,0,10898
0101000020E6100000D89AADBCE48352C000A60C1CD06C4440,GB005,KTEB,TEB,TETERBORO AIRPORT,437,3,9/8/2014,9/8/2014,0,178363
0101000020E61000009E279EB305BB62C0B79C4B71559B4E40,GB005,PAMR,MRI,MERRILL FIELD AIRPORT,454,42,9/8/2014,9/8/2014,0,69186
0101000020E6100000F2734353762B54C0E77118CC5FA14440,GB005,KYNG,YNG,YOUNGSTOWN-WARREN REGIONAL AIRPORT,469,363,9/8/2014,9/8/2014,0,17149
0101000020E6100000DE21C50089AD57C0639AE95E27314040,GB005,KGGG,GGG,EAST TEXAS REGIONAL AIRPORT,487,111,9/8/2014,9/8/2014,0,26322
0101000020E610000097C9703C9F1957C08A1C226E4E474540,GB005,KALO,ALO,WATERLOO REGIONAL AIRPORT,496,266,9/8/2014,9/8/2014,0,12676
0101000020E61000004D4EED0C538157C023F59ECA69F33D40,GB005,KBPT,BPT,SOUTHEAST TEXAS REGIONAL AIRPORT,499,5,9/8/2014,9/8/2014,0,14998
0101000020E6100000EFA7C64B379F5CC01F82AAD1AB3D4540,GB005,KTWF,TWF,JOSLIN FIELD - MAGIC VALLEY REGIONAL AIRPORT,503,1266,9/8/2014,9/8/2014,0,20149
0101000020E6100000FD4CBD6E118F55C03B3AAE4676954540,GB005,KMKG,MKG,MUSKEGON COUNTY AIRPORT,506,192,9/8/2014,9/8/2014,0,16175
0101000020E6100000B2135E8253935EC0A4703D0AD7C34740,GB005,KBFI,BFI,BOEING FIELD/KING COUNTY INTERNATIONAL AIRPORT,514,6,9/8/2014,9/8/2014,23,130171
0101000020E6100000942C27A1F4215AC0CFF4126399A64040,GB005,KROW,ROW,ROSWELL INTERNATIONAL AIR CENTER AIRPORT,515,1119,9/8/2014,9/8/2014,23,18215
0101000020E6100000994A3FE1EC515DC023DBF97E6A904040,GB005,KCRQ,CRQ,MC CLELLAN-PALOMAR AIRPORT,517,101,9/8/2014,9/8/2014,0,95322
0101000020E6100000311CCF67404F5EC0CB14731074F24240,GB005,KSCK,SCK,STOCKTON METROPOLITAN AIRPORT,522,10,9/8/2014,9/8/2014,0,36390
0101000020E610000057AA0B78991858C0C022BF7E88334540,GB005,KSUX,SUX,SIOUX GATEWAY/COL. BUD DAY FIELD,537,335,9/8/2014,9/8/2014,0,14350
0101000020E6100000B517D1764C4E57C0E294B9F946203E40,GB005,KLCH,LCH,LAKE CHARLES REGIONAL AIRPORT,539,5,9/8/2014,9/8/2014,0,17236
0101000020E61000005A9F724C163C55C03C6C223317424040,GB005,KCSG,CSG,COLUMBUS METROPOLITAN AIRPORT,540,121,9/8/2014,9/8/2014,0,15087
